Class;scope;name
PHPParser_Parser;Field;PHPParser_Node_Expr_PropertyFetch;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_NotEqual;yyval
PHPParser_Parser;Field;NULL;yyastk
PHPParser_Parser;Field;array;yyastk
PHPParser_Parser;Field;NULL;stackPos
PHPParser_Parser;Field;integer;stackPos
PHPParser_Parser;Field;PHPParser_Lexer;lexer
PHPParser_Parser;Parameter;PHPParser_Lexer;lexer
PHPParser_Parser;Parameter;model\PHPCode;code
PHPParser_Parser;Parameter;array;attributes
PHPParser_Node_Stmt_Namespace;Parameter;array;stmts
PHPParser_Node_Stmt_Namespace;Parameter;NULL;stmts
PHPParser_Node_Stmt_Namespace;Parameter;PHPParser_Node_Name;name
PHPParser_Node_Stmt_Namespace;Parameter;array;attributes
PHPParser_Node_Stmt_Namespace;Field;array;specialNames
PHPParser_Node_Stmt_Namespace;Field;array;subNodes
PHPParser_Node_Stmt_Namespace;Field;NULL;attributes
PHPParser_Node_Stmt_Namespace;Field;array;attributes
view\CodeMirror;Parameter;model\PHPCode;code
view\CodeMirror;Parameter;string;name
test\TestRunner;Parameter;model\File;testFile
test\RunSingleTest;Field;test\TestRunnerView;view
test\RunSingleTest;Field;test\TestRunner;model
view\MarkdownQuiz;Field;NULL;content
view\MarkdownQuiz;Field;string;content
view\MarkdownQuiz;Field;NULL;md5
view\MarkdownQuiz;Field;string;md5
view\MarkdownQuiz;Field;boolean;urlWasProvided
view\MarkdownQuiz;Field;string;url
view\MarkdownQuiz;Parameter;array;input
view\MarkdownQuiz;Parameter;model\QuizStorage;qs
view\MarkdownQuiz;Parameter;boolean;allowMd5
model\QuizStorage;Parameter;string;url
model\QuizStorage;Parameter;string;key
model\PHPFileStorage;Field;string;filePath
model\PHPFileStorage;Parameter;string;filePath
model\PHPFileStorage;Parameter;string;key
model\PHPFileStorage;Parameter;string;content
model\Quiz;Field;array;questions
model\Quiz;Field;string;title
model\Quiz;Parameter;model\QuizTitle;q
model\Quiz;Parameter;model\TextQuestion;q
model\Quiz;Parameter;model\MultiChoiceQuestion;q
model\Quiz;Parameter;string;title
model\TimerQuestion;Field;NULL;alternatives
model\TimerQuestion;Field;array;alternatives
model\TimerQuestion;Field;string;description
model\TimerQuestion;Parameter;view\ViewFactory;e
model\Question;Parameter;string;questionString
model\Question;Parameter;string;description
view\MarkdownParser;Parameter;integer;lineIndex
view\MarkdownParser;Parameter;array;lines
view\MarkdownParser;Parameter;string;expectedStartCharacter
view\MarkdownParser;Parameter;NULL;steps
view\MarkdownParser;Parameter;integer;steps
view\TextParser;Parameter;integer;lineIndex
view\TextParser;Parameter;array;lines
view\TextParser;Parameter;model\Quiz;ret
view\TextParser;Parameter;string;token
view\MultiChoiceParser;Parameter;integer;lineIndex
view\MultiChoiceParser;Parameter;array;lines
view\MultiChoiceParser;Parameter;model\Quiz;ret
view\MultiChoiceParser;Parameter;model\MultiChoiceQuestion;alternatives
view\MultiChoiceParser;Parameter;string;expectedStartCharacter
view\MultiChoiceParser;Parameter;boolean;isCorrect
view\ExternalParser;Parameter;integer;lineIndex
view\ExternalParser;Parameter;array;lines
view\ExternalParser;Parameter;model\Quiz;ret
view\QuizTitleParser;Parameter;integer;lineIndex
view\QuizTitleParser;Parameter;array;lines
view\QuizTitleParser;Parameter;model\Quiz;ret
view\QuizTitleParser;Parameter;string;token
model\QuizTitle;Parameter;string;text
model\QuizTitle;Parameter;string;description
model\QuizTitle;Parameter;view\ViewFactory;e
model\QuizTitle;Field;string;description
view\SingleChoiceParser;Parameter;integer;lineIndex
view\SingleChoiceParser;Parameter;array;lines
view\SingleChoiceParser;Parameter;model\Quiz;ret
view\QuizParser;Parameter;integer;lineIndex
view\QuizParser;Parameter;array;lines
view\QuizParser;Parameter;model\Quiz;ret
model\TextQuestion;Parameter;string;text
model\TextQuestion;Parameter;string;description
model\TextQuestion;Parameter;string;regexp
model\TextQuestion;Parameter;view\ViewFactory;e
model\TextQuestion;Field;string;description
model\TextQuestion;Field;string;regexp
model\MultiChoiceQuestion;Field;NULL;alternatives
model\MultiChoiceQuestion;Field;array;alternatives
model\MultiChoiceQuestion;Field;string;description
model\MultiChoiceQuestion;Parameter;string;text
model\MultiChoiceQuestion;Parameter;string;description
model\MultiChoiceQuestion;Parameter;model\Alternative;alternative
model\MultiChoiceQuestion;Parameter;view\ViewFactory;e
model\Alternative;Field;string;answerString
model\Alternative;Field;NULL;isTrue
model\Alternative;Field;boolean;isTrue
model\Alternative;Parameter;string;answerString
model\Alternative;Parameter;boolean;isTrue
view\RunQuiz;Field;model\Quiz;quizModel
view\RunQuiz;Parameter;model\Quiz;quiz
view\RunQuiz;Parameter;view\MarkdownQuiz;quiz
view\RunQuiz;Parameter;model\AttemptInformation;attemptInformation
view\RunQuiz;Parameter;model\QuizAttempt;attempt
view\RunQuiz;Parameter;model\TimerQuestion;question
view\RunQuiz;Parameter;model\QuizTitle;question
view\RunQuiz;Parameter;model\TextQuestion;question
view\RunQuiz;Parameter;model\MultiChoiceQuestion;question
model\UniqueID;Field;string;uid
model\AttemptStorage;Parameter;model\UniqueID;uid
model\AttemptStorage;Parameter;string;quizMd5
model\AttemptStorage;Field;model\InputSaver;saver
model\AttemptStorage;Field;model\UniqueID;uid
model\InputSaver;Field;model\PHPFileStorage;db
model\InputSaver;Parameter;model\PHPFileStorage;db
model\Input;Field;array;input
model\Input;Parameter;array;request
model\AttemptInformation;Field;integer;numberofAttempts
model\AttemptInformation;Field;model\Input;input
model\AttemptInformation;Field;integer;time
model\AttemptInformation;Field;model\UniqueID;id
model\AttemptInformation;Parameter;model\UniqueID;id
model\AttemptInformation;Parameter;integer;time
model\AttemptInformation;Parameter;integer;numberofAttempts
model\AttemptInformation;Parameter;model\Input;input
model\QuizAttempt;Field;array;questionAttempts
model\QuizAttempt;Field;NULL;attemptInformation
model\QuizAttempt;Field;model\AttemptInformation;attemptInformation
model\QuizAttempt;Parameter;model\AttemptInformation;attemptInformation
view\ViewFactory;Field;model\TimerQuestion;question
view\ViewFactory;Field;model\QuizTitle;question
view\ViewFactory;Field;model\TextQuestion;question
view\ViewFactory;Field;model\MultiChoiceQuestion;question
view\ViewFactory;Field;view\TimerQuestionView;instance
view\ViewFactory;Field;view\QuizTitleView;instance
view\ViewFactory;Field;view\TextQuestionView;instance
view\ViewFactory;Field;view\MultiChoiceView;instance
view\ViewFactory;Parameter;model\TimerQuestion;q
view\ViewFactory;Parameter;model\QuizTitle;q
view\ViewFactory;Parameter;model\TextQuestion;q
view\ViewFactory;Parameter;model\MultiChoiceQuestion;q
view\TimerQuestionView;Field;model\TimerQuestion;question
view\TimerQuestionView;Parameter;model\TimerQuestion;question
view\TimerQuestionView;Parameter;model\NullAttempt;questionAttempt
view\TimerQuestionView;Parameter;string;name
view\TimerQuestionView;Parameter;integer;value
view\TimerQuestionView;Parameter;integer;firstTime
view\QuizTitleView;Field;model\QuizTitle;question
view\QuizTitleView;Parameter;model\QuizTitle;question
view\QuizTitleView;Parameter;model\NullAttempt;questionAttempt
view\TextQuestionView;Field;model\TextQuestion;question
view\TextQuestionView;Parameter;model\TextQuestion;question
view\TextQuestionView;Parameter;string;name
view\TextQuestionView;Parameter;string;value
view\AbstractQuestionView;Parameter;model\TextQuestion;question
view\AbstractQuestionView;Parameter;model\MultiChoiceQuestion;question
view\AbstractQuestionView;Parameter;model\NullAttempt;questionAttempt
view\MultiChoiceView;Field;model\MultiChoiceQuestion;question
view\MultiChoiceView;Parameter;model\MultiChoiceQuestion;question
view\MultiChoiceView;Parameter;model\Alternative;alternative
view\MultiChoiceView;Parameter;boolean;userAnswer
PHPParser_Node_Name;Field;NULL;subNodes
PHPParser_Node_Name;Field;array;subNodes
PHPParser_Node_Name;Field;NULL;attributes
PHPParser_Node_Name;Field;array;attributes
PHPParser_Node_Name;Parameter;array;parts
PHPParser_Node_Name;Parameter;array;attributes
PHPParser_NodeAbstract;Parameter;array;subNodes
PHPParser_NodeAbstract;Parameter;array;attributes
PHPParser_NodeAbstract;Parameter;string;name
PHPParser_NodeAbstract;Parameter;string;value
PHPParser_NodeAbstract;Parameter;array;value
PHPParser_Node_Scalar_String;Parameter;string;str
PHPParser_Node_Scalar_String;Parameter;string;quote
PHPParser_Node_Scalar_String;Parameter;string;value
PHPParser_Node_Scalar_String;Parameter;array;attributes
PHPParser_Node_Scalar_String;Field;array;replacements
PHPParser_Node_Scalar_String;Field;array;subNodes
PHPParser_Node_Scalar_String;Field;NULL;attributes
PHPParser_Node_Scalar_String;Field;array;attributes
PHPParser_Node_Expr_Include;Field;array;subNodes
PHPParser_Node_Expr_Include;Field;NULL;attributes
PHPParser_Node_Expr_Include;Field;array;attributes
PHPParser_Node_Expr_Include;Parameter;PHPParser_Node_Scalar_String;expr
PHPParser_Node_Expr_Include;Parameter;integer;type
PHPParser_Node_Expr_Include;Parameter;array;attributes
PHPParser_Node_Stmt_ClassMethod;Field;array;subNodes
PHPParser_Node_Stmt_ClassMethod;Field;NULL;attributes
PHPParser_Node_Stmt_ClassMethod;Field;array;attributes
PHPParser_Node_Stmt_ClassMethod;Parameter;string;name
PHPParser_Node_Stmt_ClassMethod;Parameter;array;subNodes
PHPParser_Node_Stmt_ClassMethod;Parameter;array;attributes
PHPParser_Comment;Field;string;text
PHPParser_Comment;Field;NULL;line
PHPParser_Comment;Field;integer;line
PHPParser_Comment;Parameter;string;text
PHPParser_Comment;Parameter;integer;line
PHPParser_Node_Expr_Variable;Field;array;subNodes
PHPParser_Node_Expr_Variable;Field;NULL;attributes
PHPParser_Node_Expr_Variable;Field;array;attributes
PHPParser_Node_Expr_Variable;Parameter;string;name
PHPParser_Node_Expr_Variable;Parameter;array;attributes
PHPParser_Node_Name_FullyQualified;Field;NULL;subNodes
