FileName;scope;Type;Name;Match;
WP_Rewrite;property;string;permalink_structure;not matched
WP_Rewrite;property;NULL;use_trailing_slashes;not matched
WP_Rewrite;property;boolean;use_trailing_slashes;not matched
WP_Rewrite;property;string;author_base;not matched
WP_Rewrite;property;NULL;author_structure;not matched
WP_Rewrite;property;string;author_structure;not matched
WP_Rewrite;property;NULL;date_structure;not matched
WP_Rewrite;property;string;date_structure;not matched
WP_Rewrite;property;NULL;page_structure;not matched
WP_Rewrite;property;string;page_structure;not matched
WP_Rewrite;property;string;search_base;not matched
WP_Rewrite;property;NULL;search_structure;not matched
WP_Rewrite;property;string;comments_base;not matched
WP_Rewrite;property;string;pagination_base;not matched
WP_Rewrite;property;string;feed_base;not matched
WP_Rewrite;property;NULL;comments_feed_structure;not matched
WP_Rewrite;property;NULL;feed_structure;not matched
WP_Rewrite;property;string;feed_structure;not matched
WP_Rewrite;property;NULL;front;not matched
WP_Rewrite;property;boolean;front;not matched
WP_Rewrite;property;string;root;not matched
WP_Rewrite;property;string;index;not matched
WP_Rewrite;property;string;matches;not matched
WP_Rewrite;property;NULL;rules;not matched
WP_Rewrite;property;boolean;rules;not matched
WP_Rewrite;property;array;extra_rules;not matched
WP_Rewrite;property;array;extra_rules_top;not matched
WP_Rewrite;property;array;non_wp_rules;not matched
WP_Rewrite;property;array;extra_permastructs;not matched
WP_Rewrite;property;array;endpoints;not matched
WP_Rewrite;property;boolean;use_verbose_rules;not matched
WP_Rewrite;property;boolean;use_verbose_page_rules;not matched
WP_Rewrite;property;array;rewritecode;not matched
WP_Rewrite;property;array;rewritereplace;not matched
WP_Rewrite;property;array;queryreplace;not matched
WP_Rewrite;property;array;feeds;not matched
WP_Widget_Factory;property;array;widgets;not matched
WP_Widget_Factory;parameter;string;widget_class;not matched
WP_Roles;property;NULL;roles;not matched
WP_Roles;property;array;roles;not matched
WP_Roles;property;array;role_objects;not matched
WP_Roles;property;array;role_names;not matched
WP_Roles;property;NULL;role_key;not matched
WP_Roles;property;string;role_key;not matched
WP_Roles;property;boolean;use_db;not matched
WP_Role;property;string;name;not matched
WP_Role;property;NULL;capabilities;not matched
WP_Role;property;array;capabilities;not matched
WP_Role;parameter;string;role;not matched
WP_Role;parameter;array;capabilities;not matched
WP_Locale;property;NULL;weekday;not matched
WP_Locale;property;array;weekday;not matched
WP_Locale;property;NULL;weekday_initial;not matched
WP_Locale;property;array;weekday_initial;not matched
WP_Locale;property;NULL;weekday_abbrev;not matched
WP_Locale;property;array;weekday_abbrev;not matched
WP_Locale;property;NULL;month;not matched
WP_Locale;property;array;month;not matched
WP_Locale;property;NULL;month_abbrev;not matched
WP_Locale;property;array;month_abbrev;not matched
WP_Locale;property;NULL;meridiem;not matched
WP_Locale;property;array;meridiem;not matched
WP_Locale;property;string;text_direction;not matched
WP_Locale;property;array;number_format;not matched
WP;property;array;public_query_vars;not matched
WP;property;array;private_query_vars;not matched
WP;property;array;extra_query_vars;not matched
WP;property;NULL;query_vars;not matched
WP;property;array;query_vars;not matched
WP;property;NULL;query_string;not matched
WP;property;string;query_string;partly matched
WP;property;NULL;request;not matched
WP;property;NULL;matched_rule;not matched
WP;property;NULL;matched_query;not matched
WP;property;boolean;did_permalink;not matched
WP;parameter;string;qv;not matched
WP;parameter;string;query_args;not matched
WP;parameter;string;extra_query_vars;not matched
WP_User;property;NULL;data;not matched
WP_User;property;stdClass;data;not matched
WP_User;property;integer;ID;not matched
WP_User;property;array;caps;not matched
WP_User;property;NULL;cap_key;not matched
WP_User;property;string;cap_key;not matched
WP_User;property;array;roles;not matched
WP_User;property;array;allcaps;not matched
WP_User;property;NULL;filter;not matched
WP_User;property;NULL;back_compat_keys;not matched
WP_User;property;array;back_compat_keys;not matched
WP_User;parameter;string;field;not matched
WP_User;parameter;string;value;not matched
WP_User;parameter;integer;value;not matched
WP_User;parameter;stdClass;data;not matched
WP_User;parameter;string;blog_id;not matched
WP_User;parameter;string;cap_key;not matched
WP_User;parameter;string;key;not matched
WP_User;parameter;integer;id;not matched
WP_User;parameter;string;name;not matched
WP_User;parameter;string;cap;not matched
WP_Widget_Pages;property;NULL;id_base;not matched
WP_Widget_Pages;property;string;id_base;not matched
WP_Widget_Pages;property;NULL;name;not matched
WP_Widget_Pages;property;string;name;not matched
WP_Widget_Pages;property;NULL;widget_options;not matched
WP_Widget_Pages;property;array;widget_options;not matched
WP_Widget_Pages;property;NULL;control_options;not matched
WP_Widget_Pages;property;array;control_options;not matched
WP_Widget_Pages;property;boolean;number;not matched
WP_Widget_Pages;property;integer;number;not matched
WP_Widget_Pages;property;boolean;id;not matched
WP_Widget_Pages;property;string;id;not matched
WP_Widget_Pages;property;boolean;updated;not matched
WP_Widget_Pages;property;string;option_name;not matched
WP_Widget_Calendar;property;NULL;id_base;not matched
WP_Widget_Calendar;property;string;id_base;not matched
WP_Widget_Calendar;property;NULL;name;not matched
WP_Widget_Calendar;property;string;name;not matched
WP_Widget_Calendar;property;NULL;widget_options;not matched
WP_Widget_Calendar;property;array;widget_options;not matched
WP_Widget_Calendar;property;NULL;control_options;not matched
WP_Widget_Calendar;property;array;control_options;not matched
WP_Widget_Calendar;property;boolean;number;not matched
WP_Widget_Calendar;property;integer;number;not matched
WP_Widget_Calendar;property;boolean;id;not matched
WP_Widget_Calendar;property;string;id;not matched
WP_Widget_Calendar;property;boolean;updated;not matched
WP_Widget_Calendar;property;string;option_name;not matched
WP_Widget_Archives;property;NULL;id_base;not matched
WP_Widget_Archives;property;string;id_base;not matched
WP_Widget_Archives;property;NULL;name;not matched
WP_Widget_Archives;property;string;name;not matched
WP_Widget_Archives;property;NULL;widget_options;not matched
WP_Widget_Archives;property;array;widget_options;not matched
WP_Widget_Archives;property;NULL;control_options;not matched
WP_Widget_Archives;property;array;control_options;not matched
WP_Widget_Archives;property;boolean;number;not matched
WP_Widget_Archives;property;integer;number;not matched
WP_Widget_Archives;property;boolean;id;not matched
WP_Widget_Archives;property;string;id;not matched
WP_Widget_Archives;property;boolean;updated;not matched
WP_Widget_Archives;property;string;option_name;not matched
WP_Widget_Archives;parameter;array;args;not matched
WP_Widget_Archives;parameter;array;instance;not matched
WP_Widget_Meta;property;NULL;id_base;not matched
WP_Widget_Meta;property;string;id_base;not matched
WP_Widget_Meta;property;NULL;name;not matched
WP_Widget_Meta;property;string;name;not matched
WP_Widget_Meta;property;NULL;widget_options;not matched
WP_Widget_Meta;property;array;widget_options;not matched
WP_Widget_Meta;property;NULL;control_options;not matched
WP_Widget_Meta;property;array;control_options;not matched
WP_Widget_Meta;property;boolean;number;not matched
WP_Widget_Meta;property;integer;number;not matched
WP_Widget_Meta;property;boolean;id;not matched
WP_Widget_Meta;property;string;id;not matched
WP_Widget_Meta;property;boolean;updated;not matched
WP_Widget_Meta;property;string;option_name;not matched
WP_Widget_Meta;parameter;array;args;not matched
WP_Widget_Meta;parameter;array;instance;not matched
WP_Widget_Search;property;NULL;id_base;not matched
WP_Widget_Search;property;string;id_base;not matched
WP_Widget_Search;property;NULL;name;not matched
WP_Widget_Search;property;string;name;not matched
WP_Widget_Search;property;NULL;widget_options;not matched
WP_Widget_Search;property;array;widget_options;not matched
WP_Widget_Search;property;NULL;control_options;not matched
WP_Widget_Search;property;array;control_options;not matched
WP_Widget_Search;property;boolean;number;not matched
WP_Widget_Search;property;integer;number;not matched
WP_Widget_Search;property;boolean;id;not matched
WP_Widget_Search;property;string;id;not matched
WP_Widget_Search;property;boolean;updated;not matched
WP_Widget_Search;property;string;option_name;not matched
